ID,titles
0,Le projet de loi bioéthique a été voté mercredi à l'Assemblée nationale dans le cadre de l'examen en première lecture du projet de loi bioéthique.
1,"Le président du MoDem dénonce un ""manquement absolu"" aux promesses initiales du chef de l'Etat."
2,Le quotidien régional La Dépêche révèle les dessous d'une famille qui s'est déchirée à cause d'un héritage.
3,Le fondateur de Facebook a décidé de se mettre à la course à pied en apprenant que sa compagne attendait un bébé.
4,"Selon le Journal du Dimanche, un ténor de la droite a demandé son avis à l'économiste Alain Minc."
5,"Le palais de Venise, qui abrite le plus grand palais de Venise, a été transformé en palais d'exception par un architecte florentin"
6,"Les militants écologistes ont été condamnés à 500 euros d'amende chacun pour le ""vol en réunion"" de portraits d'Emmanuel Macron."
7,Le non-respect des mesures de confinement est passible d'une amende de 135 euros.
8,Météo France a levé la vigilance rouge vent sur l'Île-de-Beauté en fin de soirée.
9,"Météo France a levé ses alertes orages, pluies et inondations sur la majorité des départements."
10,"Aux élections européennes en mai, les deux listes issues du mouvement de contestation sociale, ""Alliance jaune"" conduite par le chanteur Francis Lalanne,"
11,"Le volcan grecímsvötn, le plus actif de l'île boréale, se prépare pour sa prochaine éruption, la première depuis 2011."
12,Les dernières prévisions du Réseau national de surveillance aérobiologique révèlent que la plupart des départements du pays sont placés en vigilance rouge.
13,"Le gazole, carburant le plus vendu avec près de 80% des volumes, s'affichait à 1,4120 euro le litre, en petite hausse de 0,17 centime."
14,L'ancien président s'est exprimé sur la montée des violences en France.
15,Le président des Etats-Unis Joe Biden s'est exprimé dans un entretien au Journal du Dimanche (JDD) après la publication d'une vidéo montrant
16,"L'ex-maire de Tourcoing, Christian Jacob, a été exclu du parti Les Républicains (LR) pour ""dissidence électorale""."
17,"Alym Ould Teibe, 10 ans, a subi deux greffes de moelle osseuse, en juin et septembre 2017, rapporte Le Parisien."
18,"L'ancien porte-parole du NPA Olivier Besancenot soutient la fronde des ""gilets jaunes"" et multiplie les interventions télévisées."
19,"L'ancien numéro un chinois Deng Xiaoping s'est réfugié dans l'ombre de l'arrivée au sommet du Parti communiste, fin 2012, du président"
20,Des milliers de personnes se sont rassemblées samedi soir au coeur du Parc national des Cévennes pour manifester contre l'épidémie de Covid-19.
21,"La quatrième Journée sans voiture, qui a lieu dimanche 16 septembre à Paris, doit permettre aux habitants de profiter de la ville autrement."
22,"Michel Catalano a fait face aux frères Kouachi, responsables des attentats de Charlie Hebdo."
23,"Le Pentagone américain a annoncé mardi avoir survolé ""l'endroit le plus au nord de la zone démilitarisée"" de la Corée du Nord, au moment où"
24,"Selon un sondage Ifop pour La Lettre de l'Expansion ce lundi 31 août, 18% des Français souhaiteraient voir Edouard Philippe comme candidat de la majorité à"
25,"Le ministre de l'Économie était allé à la rencontre de jeunes élèves d'une école du numérique de Lunel, afin de ""montrer un autre visage"""
26,"L'ancienne ministre du Logement a lancé ce lundi 27 juin un site internet, jesignepourlecologie.fr, pour obtenir soutien financier et parrainages pour une"
